,orbs_ratio,number_of_matches,number_good_matches,hamming_dct_post_resize_and_gray,descriptors_generation_time(ns),matcher_computation_time(ns)
589,0.3213429256594724,412,134,18,0,0
590,0.8251231527093597,391,335,0,15625000,15625000
591,0.42992874109263657,418,181,6,0,0
592,0.8648648648648649,407,352,0,0,0
593,0.2631578947368421,418,110,16,15625000,15625000
594,0.0026041666666666665,384,1,24,15625000,15625000
595,0.007462686567164179,402,3,32,0,0
596,0.10091743119266056,436,44,18,0,0
597,1.0,377,377,0,15625000,15625000
598,0.24154589371980675,414,100,22,0,0
599,1.0,357,357,0,15625000,15625000
600,0.011574074074074073,432,5,36,0,0
601,0.7881136950904393,387,305,0,0,0
602,0.6234413965087282,395,250,2,0,0
603,1.0,434,434,0,15625000,15625000
604,0.03282828282828283,396,13,30,0,0
605,1.0,384,384,0,0,0
606,0.8609112709832134,417,359,0,15625000,15625000
607,0.007211538461538462,416,3,24,0,0
608,0.8060747663551402,423,345,2,0,0
609,0.4753694581280788,393,193,10,0,0
610,0.002331002331002331,429,1,28,15625000,15625000
611,1.0,390,390,0,0,0
612,1.0,437,437,0,0,0
613,0.20574162679425836,413,86,16,0,0
614,0.004842615012106538,406,2,34,0,0
615,0.014598540145985401,411,6,28,0,0
616,0.8383084577114428,402,337,0,15625000,15625000
617,0.009501187648456057,419,4,38,0,0
618,0.007334963325183374,390,3,28,0,0
619,1.0,435,435,0,0,0
620,0.00936768149882904,427,4,24,0,0
621,0.00468384074941452,415,2,26,15625000,15625000
622,0.0023923444976076554,418,1,30,15625000,15625000
623,1.0,426,426,0,0,125000000
624,0.6767441860465117,424,291,4,0,0
625,0.6808510638297872,423,288,2,0,0
626,0.7841191066997518,398,316,0,0,0
627,0.24242424242424243,425,104,14,0,0
628,0.020930232558139535,430,9,32,0,0
629,1.0,426,426,0,0,0
630,0.8736559139784946,371,325,0,0,0
631,1.0,435,435,0,0,0
632,0.012738853503184714,137,4,36,0,0
633,0.4918793503480278,431,212,4,0,0
634,0.48243559718969553,420,206,18,0,0
635,0.5095693779904307,416,213,8,15625000,15625000
636,0.0,420,0,32,0,0
637,0.398989898989899,384,158,20,0,0
638,0.4,417,168,12,0,0
639,1.0,437,437,0,0,0
640,0.8214285714285714,419,345,2,0,0
641,0.8210023866348448,419,344,0,15625000,15625000
642,0.8790697674418605,428,378,0,0,0
643,0.8372093023255814,430,360,2,0,0
644,0.004842615012106538,413,2,34,0,0
645,0.8141809290953546,403,333,2,0,0
646,0.002325581395348837,429,1,32,15625000,15625000
647,1.0,437,437,0,0,109375000
648,0.8561151079136691,417,357,0,0,0
649,1.0,420,420,0,0,0
650,0.49884526558891457,429,216,6,0,0
651,0.004819277108433735,415,2,26,0,0
652,0.46867749419953597,428,202,8,0,0
653,0.72264631043257,375,284,2,0,0
654,0.7235294117647059,340,246,2,15625000,15625000
655,0.8885017421602788,287,255,0,0,0
656,0.29069767441860467,430,125,8,0,125000000
657,1.0,403,403,0,0,0
658,0.007614213197969543,394,3,28,0,0
659,0.2663316582914573,398,106,18,0,0
660,0.007334963325183374,403,3,34,0,0
661,1.0,427,427,0,0,0
662,1.0,427,427,0,0,0
663,0.06835443037974684,380,27,18,0,0
664,0.2331002331002331,418,100,14,0,0
665,0.7582938388625592,422,320,0,15625000,15625000
666,1.0,432,432,0,0,0
667,0.7762237762237763,286,222,0,0,0
668,0.21256038647342995,387,88,24,0,0
669,1.0,418,418,0,0,0
670,0.009732360097323601,411,4,30,0,0
671,0.06097560975609756,410,25,22,15625000,15625000
672,0.43364928909952605,422,183,10,15625000,15625000
673,0.29069767441860467,430,125,8,0,0
674,0.002257336343115124,435,1,24,15625000,15625000
675,0.4807017543859649,285,137,6,0,0
676,0.0,428,0,24,0,0
677,0.3826879271070615,435,168,10,15625000,15625000
678,0.8594470046082949,433,373,0,0,0
679,0.4818181818181818,434,212,8,0,0
680,0.634032634032634,429,272,2,0,125000000
681,0.9221698113207547,422,391,0,0,0
682,0.011441647597254004,416,5,24,15625000,15625000
683,0.005249343832020997,381,2,32,0,0
684,0.8633257403189066,439,379,0,0,0
685,0.07936507936507936,441,35,18,0,0
686,0.6232558139534884,430,268,4,0,0
687,0.5311004784688995,418,222,6,0,125000000
688,0.8164251207729468,413,338,2,15625000,15625000
689,0.24361948955916474,431,105,10,15625000,15625000
690,0.7349726775956285,366,269,0,0,0
691,0.4964871194379391,418,212,18,15625000,15625000
692,0.46115288220551376,399,184,10,0,0
693,1.0,397,397,0,0,0
694,1.0,401,401,0,0,0
695,1.0,401,401,0,15625000,15625000
696,1.0,379,379,0,0,0
697,0.007281553398058253,412,3,34,0,0
698,0.047979797979797977,394,19,26,15625000,15625000
699,0.3544973544973545,373,134,16,0,0
700,0.4,440,176,12,15625000,15625000
701,0.8357142857142857,420,351,2,0,0
702,0.00267379679144385,374,1,30,0,0
703,1.0,436,436,0,0,0
704,0.007246376811594203,414,3,32,0,0
705,1.0,427,427,0,0,0
706,0.08009153318077804,437,35,18,0,0
707,0.39563106796116504,412,163,10,0,0
708,0.8255813953488372,427,355,0,15625000,15625000
709,0.0,137,0,28,0,0
710,0.6511627906976745,429,280,0,0,0
711,0.049528301886792456,420,21,34,15625000,15625000
712,0.007009345794392523,420,3,36,0,0
713,0.4729064039408867,406,192,12,0,0
714,0.576036866359447,434,250,12,0,0
715,1.0,390,390,0,0,0
716,0.009216589861751152,434,4,44,15625000,15625000
717,0.3443396226415094,424,146,12,0,0
718,1.0,392,392,0,0,0
719,0.5724815724815725,407,233,4,0,0
720,0.2631578947368421,418,110,16,0,0
721,0.28809523809523807,420,121,16,15625000,15625000
722,1.0,384,384,0,0,0
723,1.0,427,427,0,0,0
724,0.44836272040302266,397,178,10,15625000,15625000
725,0.8927738927738927,429,383,0,0,0
726,0.7107843137254902,408,290,0,0,0
727,0.4602803738317757,428,197,10,15625000,15625000
728,0.03821656050955414,285,12,32,0,0
729,1.0,416,416,0,0,0
730,1.0,369,369,0,0,0
